line_index,line_syllable_count,word_count,average_syllable,max_syllable_count,min_syllable_count
1,14,5,2.8,5,1
2,16,10,1.6,4,1
3,16,6,2.6666666666666665,5,1
4,16,7,2.2857142857142856,4,1
5,15,4,3.75,8,1
6,13,4,3.25,5,1
7,13,5,2.6,4,1
8,13,5,2.6,4,1
9,13,4,3.25,5,1
10,11,5,2.2,3,1
11,15,4,3.75,5,1
12,16,5,3.2,6,1
13,17,6,2.8333333333333335,5,1
14,15,5,3.0,5,2
15,14,6,2.3333333333333335,4,1
16,12,4,3.0,6,1
17,16,8,2.0,4,1
18,13,8,1.625,3,1
19,15,5,3.0,6,1
20,21,8,2.625,6,1
21,18,7,2.5714285714285716,4,1
22,16,9,1.7777777777777777,4,1
23,14,6,2.3333333333333335,5,1
24,19,8,2.375,7,1
25,14,7,2.0,3,1
26,14,9,1.5555555555555556,2,1
27,13,6,2.1666666666666665,4,1
28,12,3,4.0,6,2
29,11,6,1.8333333333333333,3,1
30,13,5,2.6,4,1
31,13,4,3.25,5,1
32,14,8,1.75,4,1
33,11,5,2.2,4,1
34,12,6,2.0,3,1
35,14,7,2.0,5,1
36,12,6,2.0,4,1
37,15,5,3.0,6,1
38,12,6,2.0,3,1
39,17,6,2.8333333333333335,7,1
40,15,4,3.75,8,1
41,12,5,2.4,5,1
42,13,6,2.1666666666666665,4,1
43,15,6,2.5,5,1
44,11,6,1.8333333333333333,4,1
45,18,6,3.0,5,1
46,14,6,2.3333333333333335,5,1
47,11,4,2.75,5,1
48,16,7,2.2857142857142856,4,1
49,14,7,2.0,5,1
50,10,4,2.5,6,1
51,13,5,2.6,5,1
52,15,3,5.0,7,2
53,17,7,2.4285714285714284,4,1
54,13,7,1.8571428571428572,4,1
55,14,8,1.75,3,1
56,10,4,2.5,3,1
57,10,5,2.0,4,1
58,13,5,2.6,4,1
59,11,4,2.75,5,1
60,18,7,2.5714285714285716,5,1
61,10,6,1.6666666666666667,4,1
62,12,3,4.0,6,3
63,11,5,2.2,4,1
64,13,5,2.6,4,1
65,12,5,2.4,4,1
66,10,4,2.5,4,1
67,13,7,1.8571428571428572,4,1
68,12,6,2.0,4,1
69,16,6,2.6666666666666665,5,1
70,12,7,1.7142857142857142,3,1
71,10,6,1.6666666666666667,3,1
72,11,5,2.2,4,1
73,13,7,1.8571428571428572,3,1
74,12,6,2.0,4,1
75,12,5,2.4,4,1
76,15,6,2.5,4,1
77,19,7,2.7142857142857144,6,1
78,15,6,2.5,5,1
79,13,7,1.8571428571428572,3,1
80,14,5,2.8,4,1
81,17,7,2.4285714285714284,5,1
82,13,5,2.6,4,1
83,11,5,2.2,4,1
84,16,7,2.2857142857142856,5,1
85,11,6,1.8333333333333333,4,1
86,12,6,2.0,4,1
87,10,5,2.0,3,1
88,10,5,2.0,4,1
89,12,4,3.0,7,1
90,12,5,2.4,4,1
91,9,4,2.25,4,1
92,10,4,2.5,4,1
93,10,4,2.5,4,1
94,8,4,2.0,3,1
95,10,4,2.5,4,1
96,13,6,2.1666666666666665,4,1
97,13,5,2.6,5,1
98,15,7,2.142857142857143,4,1
99,7,4,1.75,2,1
100,8,4,2.0,3,1
101,8,7,1.1428571428571428,3,0
102,7,4,1.75,3,1
103,12,6,2.0,4,1
104,11,4,2.75,4,1
105,6,5,1.2,4,0
106,10,4,2.5,4,1
107,14,6,2.3333333333333335,4,1
108,5,6,0.8333333333333334,2,0
109,11,6,1.8333333333333333,3,1
110,10,5,2.0,4,1
111,11,4,2.75,4,1
112,11,4,2.75,5,1
113,9,5,1.8,3,1
114,14,6,2.3333333333333335,5,1
115,11,5,2.2,4,1
116,10,4,2.5,5,1
117,12,5,2.4,5,1
118,14,6,2.3333333333333335,6,1
119,9,5,1.8,2,1
120,10,4,2.5,5,1
121,12,6,2.0,4,1
122,13,5,2.6,5,1
123,12,5,2.4,5,1
124,15,6,2.5,4,1
125,10,5,2.0,3,1
126,9,5,1.8,3,1
127,10,4,2.5,5,1
128,13,5,2.6,5,1
129,10,5,2.0,4,1
130,14,7,2.0,4,1
131,12,4,3.0,4,1
132,14,6,2.3333333333333335,4,1
133,15,7,2.142857142857143,4,1
134,9,3,3.0,4,1
135,13,8,1.625,2,1
136,13,6,2.1666666666666665,4,1
137,9,5,1.8,3,1
138,10,5,2.0,3,1
139,13,6,2.1666666666666665,3,1
140,11,5,2.2,3,1
141,12,6,2.0,3,1
142,11,5,2.2,5,1
143,11,5,2.2,3,1
144,15,6,2.5,5,1
145,14,6,2.3333333333333335,4,1
146,13,6,2.1666666666666665,4,1
147,16,5,3.2,5,1
148,13,6,2.1666666666666665,4,1
149,11,7,1.5714285714285714,3,1
150,9,4,2.25,5,1
151,12,5,2.4,4,1
152,12,4,3.0,5,1
153,11,5,2.2,4,1
154,8,4,2.0,3,1
155,11,4,2.75,4,1
156,13,6,2.1666666666666665,5,1
157,14,5,2.8,6,1
158,9,3,3.0,4,1
159,8,4,2.0,5,1
160,10,4,2.5,4,1
161,10,4,2.5,3,2
162,11,4,2.75,4,1
163,10,4,2.5,4,1
164,11,6,1.8333333333333333,4,1
165,10,4,2.5,4,1
166,11,5,2.2,4,1
167,13,5,2.6,5,1
168,10,4,2.5,4,1
169,10,5,2.0,3,1
170,7,4,1.75,3,1
171,20,8,2.5,5,1
172,11,5,2.2,4,1
173,9,6,1.5,2,1
174,11,5,2.2,3,1
175,12,6,2.0,3,1
176,11,5,2.2,3,1
177,9,5,1.8,3,1
178,11,5,2.2,4,1
179,10,5,2.0,3,1
180,8,3,2.6666666666666665,4,2
181,13,6,2.1666666666666665,4,1
182,9,4,2.25,3,1
183,9,4,2.25,3,1
184,10,6,1.6666666666666667,3,1
185,11,5,2.2,4,1
186,9,4,2.25,4,1
187,10,5,2.0,3,1
188,11,8,1.375,2,1
189,13,5,2.6,5,1
190,14,6,2.3333333333333335,4,1
191,12,6,2.0,4,1
192,14,6,2.3333333333333335,5,1
193,11,4,2.75,5,1
194,12,3,4.0,6,2
195,14,5,2.8,6,1
196,11,8,1.375,4,0
197,11,4,2.75,5,1
198,11,4,2.75,6,1
199,13,6,2.1666666666666665,5,1
200,10,4,2.5,4,1
201,12,6,2.0,3,1
202,11,4,2.75,4,1
203,10,6,1.6666666666666667,3,1
